,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
276,2025-11-19,Luxair,LG3592,luxembourg,13:40:00,Retrasado,76,de Havilland Dash 8-400,U,EU,Miércoles,Tarde,0,0,Legacy,0.86
277,2025-11-19,Turkish Airlines,TK608,ankara,13:40:00,Retrasado,165,Boeing 737-800,W,INT,Miércoles,Tarde,0,0,Legacy,0.86
278,2025-11-19,Bluebird Airways,BZ251,tel aviv,14:45:00,En hora,180,Airbus A320,Y,INT,Miércoles,Tarde,0,0,Low_Cost,0.95
279,2025-11-19,Norwegian Air Sweden AOC,D83659,copenhagen,14:45:00,En hora,189,Boeing 737-800,S,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
280,2025-11-19,Eurowings,EW2521,stuttgart,15:10:00,Retrasado,150,Airbus A319,S,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
283,2025-11-19,Pegasus Airlines,PC1094,istanbul,15:45:00,Retrasado,220,Airbus A321,W,INT,Miércoles,Tarde,0,0,Low_Cost,0.95
284,2025-11-19,Volotea,V71415,verona,15:45:00,En hora,180,Airbus A320,R,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
286,2025-11-19,Transavia,TO4755,paris,16:45:00,En hora,186,Airbus A320neo,U,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
289,2025-11-19,Grupo wizz,W67920,kopitnari,17:15:00,En hora,239,Airbus A321neo,Y,INT,Miércoles,Tarde,0,0,Low_Cost,0.95
291,2025-11-19,Iberojet,E9803,palmerola,17:40:00,En hora,432,Airbus A350-900,S,NAC,Miércoles,Tarde,0,0,Low_Cost,0.95
293,2025-11-19,Grupo wizz,W43686,iasi,18:30:00,En hora,180,Airbus A320,S,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
294,2025-11-19,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:35:00,En hora,156,Airbus A319,R,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
295,2025-11-19,Grupo easy,EC7155,milan,19:00:00,En hora,156,Airbus A319,R,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
297,2025-11-19,Grupo wizz,W61478,warsaw,19:00:00,Retrasado,239,Airbus A321neo,S,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
301,2025-11-19,Eurowings,EW9443,dusseldorf,19:35:00,Retrasado,180,Airbus A320,S,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
303,2025-11-19,Transavia,HV6064,rotterdam,19:40:00,Retrasado,189,Boeing 737-800,U,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
304,2025-11-19,Grupo easy,U28058,london,19:45:00,En hora,180,Airbus A320,M,INT,Miércoles,Tarde,0,0,Low_Cost,0.97
305,2025-11-19,Grupo wizz,W61706,gdansk,19:50:00,Retrasado,239,Airbus A321neo,U,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
309,2025-11-19,Grupo easy,EC1956,milan,20:15:00,En hora,180,Airbus A320,R,EU,Miércoles,Noche,0,0,Low_Cost,0.97
310,2025-11-19,Air Arabia Maroc,3O378,tanger,20:20:00,En hora,174,Airbus A320,Y,INT,Miércoles,Noche,0,0,Low_Cost,0.95
311,2025-11-19,T'Way Air,TW408,seoul/incheon,20:30:00,Retrasado,294,BOEING 777-300ER,Y,INT,Miércoles,Noche,0,0,Low_Cost,0.95
312,2025-11-19,Air Serbia,JU585,belgrade,20:35:00,En hora,144,Airbus A319,Y,INT,Miércoles,Noche,0,0,Legacy,0.86
313,2025-11-19,Grupo wizz,W62378,budapest,20:45:00,Retrasado,239,Airbus A321neo,S,EU,Miércoles,Noche,0,0,Low_Cost,0.97
314,2025-11-19,Transavia,TO4759,paris,20:50:00,Retrasado,186,Airbus A320neo,S,EU,Miércoles,Noche,0,0,Low_Cost,0.97
315,2025-11-19,Grupo easy,U22326,london,20:55:00,En hora,156,Airbus A319,M,INT,Miércoles,Noche,0,0,Low_Cost,0.97
