,Unnamed: 0,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
747,,23/11/2025 15-34-22,easyJet Europe,EC7131,Nice/Cote D'Azur (NCE),08:00,Ha salido,156.0,Airbus A319,R10
748,,23/11/2025 15-34-22,easyJet Europe,EC3754,Milan (MXP),08:25,Ha salido,180.0,Airbus A320,R11
749,,23/11/2025 15-34-22,Ryanair,FR878,Venice (VCE),08:30,Ha salido,189.0,Boeing 737-800,U34
750,,23/11/2025 15-34-22,easyJet Europe,EC1376,Geneva (GVA),08:35,Ha salido,156.0,Airbus A319,R12
751,,23/11/2025 15-34-22,Volotea,V73735,Murcia (RMU),08:40,"Retrasado, Ha salido",180.0,Airbus A320,U35
752,,23/11/2025 15-34-22,BUZZ,RR1786,Vilnius (VNO),09:00,Ha salido,197.0,Boeing 737 MAX 8,S25
753,,23/11/2025 15-34-22,Ryanair,FR3028,Ibiza (IBZ),09:05,Ha salido,197.0,Boeing 737 MAX 8,U31
754,,23/11/2025 15-34-22,Wizz Air,W62048,Krakow (KRK),09:05,"Retrasado, Ha salido",239.0,Airbus A321neo,S20
755,,23/11/2025 15-34-22,BUZZ,RR3193,Riga (RIX),09:10,Ha salido,189.0,Boeing 737-800,S22
756,,23/11/2025 15-34-22,Eurowings,EW7521,Hamburg (HAM),09:25,Ha salido,150.0,Airbus A319,S24
757,,23/11/2025 15-34-22,Wizz Air Malta,W43176,Bucharest (OTP),09:25,Ha salido,239.0,Airbus A321neo,U33
758,,23/11/2025 15-34-22,Wizz Air Malta,W45088,Tirana (TIA),09:25,Ha salido,239.0,Airbus A321neo,W46
759,,23/11/2025 15-34-22,Wizz Air,W62376,Budapest (BUD),09:25,"Retrasado, Ha salido",239.0,Airbus A321neo,U32
760,,23/11/2025 15-34-22,Ryanair,FR4545,Porto (OPO),09:35,Ha salido,189.0,Boeing 737-800,U36
761,,23/11/2025 15-34-22,Wizz Air Malta,W42938,Vienna (VIE),09:35,"Retrasado, Ha salido",239.0,Airbus A321neo,R12
762,,23/11/2025 15-34-22,easyJet Europe,EC7656,Lisbon (LIS),09:45,Ha salido,230.0,Airbus A321,R10
763,,23/11/2025 15-34-22,BUZZ,RR333,Gdansk (GDN),09:45,Ha salido,189.0,Boeing 737-800,U35
764,,23/11/2025 15-34-22,BUZZ,RR8384,Budapest (BUD),09:45,"Retrasado, Ha salido",197.0,Boeing 737 MAX 8,U34
765,,23/11/2025 15-34-22,Ryanair,FR2495,Palma de Mallorca (PMI),09:50,Ha salido,189.0,Boeing 737-800,R14
766,,23/11/2025 15-34-22,Ryanair,FR6341,Rome (FCO),09:55,Ha salido,189.0,Boeing 737-800,U37
767,,23/11/2025 15-34-22,BUZZ,RR3049,Krakow (KRK),09:55,"Retrasado, Ha salido",197.0,Boeing 737 MAX 8,S21
768,,23/11/2025 15-34-22,Ryanair,FR8231,London (STN),10:00,Ha salido,189.0,Boeing 737-800,Y55
769,,23/11/2025 15-34-22,Wizz Air Malta,W46018,Rome (FCO),10:00,Ha salido,239.0,Airbus A321neo,S23
770,,23/11/2025 15-34-22,Ryanair,FR6874,Dublin (DUB),10:05,Ha salido,197.0,Boeing 737 MAX 8,W45
