,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,festivo,Visper_fest,OCC,Name_company,Airline_Type
176,2025-11-20,FR149,berlin,15:40:00,189,EU,Jueves,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
177,2025-11-20,FR2922,brussels,16:05:00,189,EU,Jueves,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
178,2025-11-20,FR9045,london,16:30:00,197,INT,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
179,2025-11-20,FR9913,tallinn,16:30:00,197,EU,Jueves,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
180,2025-11-20,FR4585,porto,16:35:00,197,EU,Jueves,Tarde,0,0,0.92,Grupo Ryanair,Low_Cost
181,2025-11-20,FR2098,bologna,17:15:00,189,EU,Jueves,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
182,2025-11-20,FR8394,budapest,17:30:00,189,EU,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
183,2025-11-20,FR6300,sofia,17:45:00,189,EU,Jueves,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
184,2025-11-20,FR5718,bratislava,18:00:00,189,EU,Jueves,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
185,2025-11-20,FR6341,rome,18:00:00,189,EU,Jueves,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
186,2025-11-20,FR3078,lisbon,18:30:00,189,EU,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
187,2025-11-20,FR6394,dublin,18:30:00,197,INT,Jueves,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
188,2025-11-20,FR3800,birmingham,18:45:00,189,INT,Jueves,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
189,2025-11-20,FR3193,riga,19:05:00,189,EU,Jueves,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
190,2025-11-20,FR1342,palma de mallorca,19:25:00,189,NAC,Jueves,Tarde,0,0,0.91,Grupo Ryanair,Low_Cost
191,2025-11-20,FR8217,london,19:25:00,189,INT,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
192,2025-11-20,FR8598,reggio calabria,19:45:00,189,EU,Jueves,Tarde,0,0,0.92,Grupo Ryanair,Low_Cost
193,2025-11-20,FR8631,tanger,19:55:00,189,INT,Jueves,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
194,2025-11-20,FR3143,milan,20:25:00,189,EU,Jueves,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
195,2025-11-20,FR4587,porto,20:45:00,189,EU,Jueves,Noche,0,0,0.92,Grupo Ryanair,Low_Cost
196,2025-11-20,FR333,gdansk,21:00:00,189,EU,Jueves,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
197,2025-11-20,FR1527,valletta,21:20:00,189,EU,Jueves,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
198,2025-11-20,FR3035,krakow,21:30:00,197,EU,Jueves,Noche,0,0,0.99,Grupo Ryanair,Low_Cost
199,2025-11-20,FR4084,warsaw,21:30:00,189,EU,Jueves,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
200,2025-11-21,FR8183,bologna,06:10:00,189,EU,Viernes,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
201,2025-11-21,FR8231,london,06:10:00,189,INT,Viernes,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
202,2025-11-21,FR777,venice,06:20:00,189,EU,Viernes,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
203,2025-11-21,FR846,milan,06:25:00,189,EU,Viernes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
204,2025-11-21,FR133,berlin,06:35:00,189,EU,Viernes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
205,2025-11-21,FR4545,porto,06:45:00,197,EU,Viernes,Mañana,0,0,0.92,Grupo Ryanair,Low_Cost
206,2025-11-21,FR2889,palma de mallorca,07:40:00,180,NAC,Viernes,Mañana,0,0,0.68,Grupo Ryanair,Low_Cost
207,2025-11-21,FR3976,dublin,08:00:00,189,INT,Viernes,Mañana,0,0,0.94,Grupo Ryanair,Low_Cost
208,2025-11-21,FR3185,rabat,08:10:00,189,INT,Viernes,Mañana,0,0,0.91,Grupo Ryanair,Low_Cost
209,2025-11-21,FR6973,rome,08:15:00,189,EU,Viernes,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
210,2025-11-21,FR5752,valletta,08:40:00,197,EU,Viernes,Mañana,0,0,0.94,Grupo Ryanair,Low_Cost
211,2025-11-21,FR1165,sevilla,09:00:00,189,NAC,Viernes,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
