,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
627,06/12/2025,Ryanair,FR846,Milan (BGY),06:00,"En hora, Ha salido",189.0,Boeing 737-800,S22
628,06/12/2025,easyJet Europe,EC7105,Geneva (GVA),06:10,"En hora, Ha salido",156.0,Airbus A319,R12
629,06/12/2025,Ryanair,FR5718,Bratislava (BTS),06:10,"En hora, Ha salido",189.0,Boeing 737-800,S24
630,06/12/2025,Ryanair,FR4545,Porto (OPO),06:15,"Retrasado, Ha salido 06:30",197.0,Boeing 737 MAX 8,U31
631,06/12/2025,Ryanair,FR1342,Palma de Mallorca (PMI),06:20,"Retrasado, Ha salido 06:32",189.0,Boeing 737-800,R11
632,06/12/2025,Ryanair,FR777,Venice (VCE),06:30,"En hora, Ha salido",189.0,Boeing 737-800,U32
633,06/12/2025,Ryanair,FR8217,London (STN),06:55,"En hora, Ha salido",189.0,Boeing 737-800,W42
634,06/12/2025,easyJet Europe,EC7151,Milan (MXP),07:30,"En hora, Ha salido",156.0,Airbus A319,R10
635,06/12/2025,Ryanair,FR2918,Brussels (BRU),08:05,"En hora, Ha salido",189.0,Boeing 737-800,U34
636,06/12/2025,Ryanair,FR3180,Rome (FCO),08:15,"En hora, Ha salido",189.0,Boeing 737-800,U33
637,06/12/2025,Air Arabia Maroc,3O376,Al Aaroui (NDR),08:35,"En hora, Ha salido",180.0,Airbus A320,W44
638,06/12/2025,Ryanair,FR1165,Sevilla (SVQ),08:50,"Retrasado, Ha salido 09:16",189.0,Boeing 737-800,U31
639,06/12/2025,Ryanair,FR575,Bologna (BLQ),08:50,"En hora, Ha salido",189.0,Boeing 737-800,S24
640,06/12/2025,Ryanair,FR3166,Palermo (PMO),09:00,"En hora, Ha salido",189.0,Boeing 737-800,U35
641,06/12/2025,Wizz Air Malta,W43938,Chisinau (KIV),09:00,"En hora, Ha salido",180.0,Airbus A320,W43
642,06/12/2025,Wizz Air,W62048,Krakow (KRK),09:05,"Retrasado, Ha salido 10:01",239.0,Airbus A321neo,S20
643,06/12/2025,Ryanair,FR2834,Charleroi (CRL),09:15,"En hora, Ha salido",189.0,Boeing 737-800,R14
644,06/12/2025,Ryanair,FR133,Berlin (BER),09:20,"En hora, Ha salido",189.0,Boeing 737-800,U34
645,06/12/2025,Ryanair,FR2239,Marrakech (RAK),09:20,"En hora, Ha salido",189.0,Boeing 737-800,Y58
646,06/12/2025,Ryanair,FR3028,Ibiza (IBZ),09:20,"En hora, Ha salido",189.0,Boeing 737-800,R11
647,06/12/2025,Wizz Air,W61914,Vilnius (VNO),09:20,"En hora, Ha salido",239.0,Airbus A321neo,S21
648,06/12/2025,Ryanair,FR2889,Palma de Mallorca (PMI),09:25,"En hora, Ha salido",189.0,Boeing 737-800,U37
649,06/12/2025,Wizz Air Malta,W43176,Bucharest (OTP),09:25,"En hora, Ha salido",239.0,Airbus A321neo,S23
650,06/12/2025,Wizz Air,W62376,Budapest (BUD),09:25,"En hora, Ha salido",239.0,Airbus A321neo,S22
651,06/12/2025,BUZZ,RR3049,Krakow (KRK),09:30,"Retrasado, Ha salido 10:10",189.0,Boeing 737-800,U32
652,06/12/2025,Wizz Air Malta,W42938,Vienna (VIE),09:35,"Retrasado, Ha salido 11:15",230.0,Airbus A321,U31
653,06/12/2025,Air Serbia,JU581,Belgrade (BEG),09:55,"En hora, Ha salido",156.0,Airbus A319,W45
654,06/12/2025,Ryanair,FR3143,Milan (BGY),10:00,"En hora, Ha salido",189.0,Boeing 737-800,R13
655,06/12/2025,Ryanair,FR6559,Liverpool (LPL),10:00,"En hora, Ha salido",189.0,Boeing 737-800,W42
656,06/12/2025,Wizz Air Malta,W46018,Rome (FCO),10:00,"En hora, Ha salido",239.0,Airbus A321neo,U33
657,06/12/2025,Transavia,HV5132,Amsterdam (AMS),10:05,"En hora, Ha salido",232.0,Airbus A321neo,R12
658,06/12/2025,Wizz Air,W61812,Wrocław (WRO),10:10,"En hora, Ha salido",239.0,Airbus A321neo,S25
659,06/12/2025,Wizz Air,W61476,Warsaw (WAW),10:15,"En hora, Ha salido",239.0,Airbus A321neo,U35
660,06/12/2025,easyJet Europe,EC7656,Lisbon (LIS),10:20,"En hora, Ha salido",230.0,Airbus A321,R10
661,06/12/2025,Ryanair,FR9171,Stockholm (ARN),10:20,"Retrasado, Ha salido 10:30",197.0,Boeing 737 MAX 8,S22
662,06/12/2025,Easyjet,U22326,London (LTN),10:20,"En hora, Ha salido",186.0,Airbus A320neo,M6
663,06/12/2025,Ryanair,FR3168,Newcastle (NCL),10:25,"En hora, Ha salido",189.0,Boeing 737-800,Y53
664,06/12/2025,Ryanair,FR9307,Cork (ORK),10:30,"En hora, Ha salido",197.0,Boeing 737 MAX 8,W43
665,06/12/2025,Lauda Europe,LW12,Vienna (VIE),10:30,"En hora, Ha salido",180.0,Airbus A320,U34
666,06/12/2025,Easyjet,U28056,London (LGW),10:35,"En hora, Ha salido",180.0,Airbus A320,M1
667,06/12/2025,Azerbaijan Airlines,J246,Baku (GYD),10:45,"En hora, Ha salido",186.0,Airbus A320neo,W46
668,06/12/2025,SkyUp MT,U5406,Chisinau (KIV),10:50,"Retrasado, Ha salido 12:02",141.0,Boeing 737-700,Y54
669,06/12/2025,Easyjet,U22704,Bristol (BRS),10:55,"En hora, Ha salido",186.0,Airbus A320neo,M3
670,06/12/2025,Ryanair,FR6394,Dublin (DUB),11:00,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y59
671,06/12/2025,Ryanair,FR4597,Porto (OPO),11:20,"Retrasado, Ha salido 12:40",197.0,Boeing 737 MAX 8,U41
672,06/12/2025,easyJet Europe,EC7193,Leeds Bradford (LBA),11:30,"En hora, Ha salido",156.0,Airbus A319,M6
673,06/12/2025,Aer Lingus,EI563,Dublin (DUB),11:30,"En hora, Ha salido",174.0,Airbus A320,W45
674,06/12/2025,Ryanair,FR2507,Cologne-Bonn (CGN),11:55,"En hora, Ha salido",180.0,Airbus A320,U37
675,06/12/2025,Ryanair,FR2896,Palma de Mallorca (PMI),12:00,"En hora, Ha salido",189.0,Boeing 737-800,U33
676,06/12/2025,Ryanair,FR3108,Luxembourg (LUX),12:05,"En hora, Ha salido",189.0,Boeing 737-800,R13
677,06/12/2025,easyJet Europe,EC8064,London (LGW),12:10,"En hora, Ha salido",156.0,Airbus A319,M3
678,06/12/2025,Ryanair,FR8231,London (STN),12:25,"En hora, Ha salido",189.0,Boeing 737-800,W42
